noise,utility,novelty,coherence,testability
0.0,0.5482957341639952,0.9280721369437186,1.0,0.6032
0.02,0.5949100499707567,0.938776418189421,0.958428431810136,0.6704000000000001
0.04,0.440663515871804,0.9905162982323935,0.9149837613865701,0.4856000000000001
0.06,0.5071316841638887,0.9688945182898854,0.8793354518409526,0.5984
0.08,0.35277842352390076,0.9949846261554379,0.83854785751865,0.4248
0.1,0.42747628389940484,0.9831516912660925,0.8039304511338404,0.532
0.12,0.45998339697900537,0.9850718988778677,0.78314279158581,0.5928000000000001
0.14,0.3069161296373738,0.999631077608548,0.7329560907312105,0.4208
0.16,0.3145874819881812,0.9998296202036141,0.7007743551434967,0.4448
0.18,0.2946601808998155,0.9958112653976403,0.6676053285137189,0.4424
0.2,0.27326296715463405,0.9960015835595772,0.6599510864688428,0.41600000000000004
0.22,0.3209585349458959,0.9994588513434517,0.6520820188813399,0.48719999999999997
0.24,0.27718034902762106,1.0,0.6048971804247358,0.4640000000000001
0.26,0.296981433237797,1.0,0.6049802514654974,0.496
0.28,0.2686206628892538,0.9977010564711539,0.5627524233559368,0.4888
0.3,0.2606001776449422,0.9993540551860978,0.5414414150031452,0.496
0.32,0.27216720050905635,0.9993364586533323,0.5405857491837299,0.516
0.34,0.27732658769179813,1.0,0.5297786167995219,0.5408000000000001
0.36,0.2664577010566423,1.0,0.5174130767265596,0.5296000000000001
0.38,0.2719015106343491,0.9987791428080893,0.5093431590122021,0.5512
0.4,0.2561404623847917,1.0,0.47956459684786273,0.5568000000000001
0.42,0.2515392879790101,0.9998670621202773,0.48244047264884593,0.5416000000000001
0.44,0.2764311798257368,0.9995705144379594,0.4877757756523541,0.5848000000000001
0.46,0.2742159291195399,0.9999390643655538,0.48014869181427455,0.5912000000000001
0.48,0.2657751728651863,0.9993776210694666,0.4458365956737903,0.6192
0.5,0.26517520283187207,1.0,0.44869395582403165,0.6176
